00000,00857,0
00858,00917,1
00918,01693,2
01694,02696,3
02697,03383,4
03384,03626,2
03627,03888,4
03889,04094,2
04095,05335,3
05336,05401,4
05402,05848,3
05849,06538,4
06539,06897,2
06898,07746,3
07747,07996,4
07997,08444,0
08445,08774,2
08775,09026,4
09027,09259,2
09260,10204,3
10205,10698,4
10699,10903,1
10904,11467,2
11468,11880,3
11881,12707,4
12708,13053,2
13054,14250,3
14251,14813,4
14814,15929,1
15930,16612,2
16613,17343,3
17344,18278,4
18279,18380,2
18381,18602,3
18603,18670,4
18671,19159,2
19160,19387,4
19388,19705,2
19706,19967,3
19968,20316,4
20317,20777,6
20778,20912,1
20913,21277,7
21278,21444,0
