00000,00736,0
00737,01130,1
01131,03192,2
03193,03544,3
03545,04764,4
04765,05279,2
05280,05663,3
05664,06273,4
06274,06758,0
06759,07343,2
07344,07790,3
07791,08406,4
08407,08708,1
08709,08966,2
08967,09596,3
09597,10073,4
10074,10487,1
10488,11009,2
11010,11571,3
11572,12079,4
12080,12682,2
12683,13562,3
13563,13743,2
13744,15446,3
15447,15893,4
15894,16224,2
16225,16669,3
16670,17059,4
17060,17271,1
17272,17589,2
17590,18058,3
18059,18367,4
18368,18550,1
18551,19341,0
19342,19945,7
19946,19992,0
