00000,01104,0
01105,01326,1
01327,02731,2
02732,03096,3
03097,03489,4
03490,04095,2
04096,05016,3
05017,05879,2
05880,06498,3
06499,07186,4
07187,07949,2
07950,08257,3
08258,08894,4
08895,09152,1
09153,10875,2
10876,11494,3
11495,12528,4
12529,12806,1
12807,13452,2
13453,13739,3
13740,14397,4
14398,14619,1
14620,15342,2
15343,15976,3
15977,16626,4
16627,17236,1
17237,17656,2
17657,18251,3
18252,19330,4
19331,19661,1
19662,19780,2
19781,20346,3
20347,20772,4
20773,20925,1
20926,21498,2
21499,22145,3
22146,22451,4
22452,23545,0
23546,23636,1
23637,25409,2
25410,25512,1
25513,26183,2
26184,28116,3
28117,29312,4
29313,29495,1
29496,31266,2
31267,32219,3
32220,33029,4
33030,33208,1
33209,33924,2
33925,34003,3
34004,34137,2
34138,35092,3
35093,35784,4
35785,35953,1
35954,36337,2
36338,36963,3
36964,37350,4
37351,37520,1
37521,38407,2
38408,38954,3
38955,39650,4
39651,40499,6
40500,40599,1
40600,41059,7
41060,41181,0
