00000,01010,0
01011,01110,1
01111,02595,2
02596,03110,0
03111,03364,2
03365,03953,3
03954,04178,4
04179,04804,0
04805,04963,4
04964,05286,2
05287,05905,3
05906,06291,4
06292,06610,2
06611,07220,3
07221,07442,4
07443,07556,1
07557,07921,2
07922,08320,3
08321,08534,4
08535,08643,1
08644,08973,2
08974,09410,3
09411,09610,4
09611,09811,1
09812,09975,2
09976,10271,3
10272,10603,4
10604,10804,1
10805,11480,2
11481,11900,3
11901,12093,4
12094,12217,1
12218,12640,2
12641,12848,3
12849,12990,4
12991,13452,2
13453,13616,3
13617,13859,4
13860,14058,6
14059,14203,1
14204,14502,7
14503,14575,0
