00000,00679,0
00680,00749,1
00750,01722,2
01723,02116,3
02117,02387,4
02388,02902,2
02903,03228,3
03229,03500,4
03501,03751,2
03752,04002,3
04003,04037,4
04038,04147,2
04148,04460,3
04461,04719,4
04720,04952,2
04953,05171,3
05172,05204,4
05205,05301,2
05302,05392,3
05393,05689,4
05690,05897,2
05898,06450,3
06451,06720,4
06721,06805,1
06806,07053,2
07054,07555,3
07556,07903,4
07904,08077,1
08078,08678,2
08679,09145,3
09146,09432,4
09433,09700,2
09701,09884,3
09885,10049,4
10050,10248,2
10249,10554,3
10555,10845,4
10846,11129,2
11130,11674,3
11675,12040,4
12041,12304,2
12305,12723,3
12724,12988,4
12989,13748,0
13749,13989,1
13990,14454,2
14455,14796,3
14797,14906,4
14907,15049,2
15050,15329,3
15330,15818,4
15819,15991,2
15992,16196,3
16197,16452,4
16453,17447,6
17448,17964,7
17965,18008,0
