00000,00812,0
00813,00901,1
00902,01184,2
01185,01512,3
01513,01904,4
01905,02146,2
02147,02657,3
02658,02859,4
02860,03165,2
03166,03520,3
03521,03754,4
03755,04030,2
04031,04267,3
04268,04371,2
04372,04813,3
04814,05021,4
05022,05243,2
05244,05295,3
05296,05512,2
05513,06034,3
06035,06216,4
06217,06517,2
06518,06881,3
06882,07045,4
07046,07288,2
07289,07628,3
07629,07688,2
07689,07924,3
07925,08053,4
08054,08127,1
08128,08290,4
08291,10102,0
10103,10430,2
10431,10682,3
10683,10893,4
10894,11310,6
11311,11812,7
11813,11851,0
