BBP01,5038
BBP05,3662
BBP06,5495
BBP08,4464
BBP09,4652
BBP10,3284
BBP11,3874
BBP13,3648
BBP14,2794
BBP19,4195
BBP20,8673
BBP21,5170
BBP22,3251
BBP23,3649
BBP24,4760
BBP26,2245
BBP29,3204
BBP30,4794
BBP31,4932
BBP33,3644
BBP38,4444
BBP40,3205
BBP42,3354
BBP45,4894
BBP46,3604
BBP47,6866
BBP48,4960
BBP50,4010
BBP51,6785
BBP54,5911
BBP57,5546
BBP58,4397
BBP59,4152
BBP60,3254
BBP61,3591
BBP63,2585
BBP64,4027
BBP65,4724
BBP66,4523
BBP68,2864
SBP04,4151
SBP07,2611
SBP08,4212
SBP10,5007
SBP11,7579
SBP12,5147
SBP14,3073
SBP15,7844
SBP16,8078
SBP17,7863
SBP18,7485
SBP19,4849
SBP21,10705
SBP22,6082
SBP23,6264
SBP25,7810
SBP27,3621
SBP28,6263
SBP29,8125
SBP30,3958
SBP35,9744
SBP37,5310
SBP38,6738
SBP39,6777
SBP40,5445
SBP45,8422
SBP46,9017
SBP47,8414
SBP48,7050
SBP49,6160
SBP51,4836
SBP53,4902
SBP54,8338
SBP57,7328
SBP63,7319
SBP64,2446
SBP65,9270
SBP66,6035
SBP68,7244
SBP69,4845
