BBP01,5038
BBP05,3662
BBP06,5495
BBP07,4835
BBP08,4464
BBP09,4652
BBP13,3648
BBP14,2794
BBP15,4340
BBP18,6857
BBP19,4195
BBP22,3251
BBP23,3649
BBP24,4760
BBP26,2245
BBP30,4794
BBP31,4932
BBP36,5038
BBP38,4444
BBP40,3205
BBP41,3324
BBP42,3354
BBP43,4950
BBP44,3337
BBP46,3604
BBP47,6866
BBP48,4960
BBP50,4010
BBP51,6785
BBP52,3661
BBP53,2948
BBP57,5546
BBP59,4152
BBP60,3254
BBP61,3591
BBP63,2585
BBP64,4027
BBP65,4724
BBP67,3657
BBP68,2864
SBP01,5140
SBP03,7630
SBP04,4151
SBP05,4406
SBP07,2611
SBP08,4212
SBP10,5007
SBP11,7579
SBP14,3073
SBP15,7844
SBP17,7863
SBP18,7485
SBP19,4849
SBP22,6082
SBP23,6264
SBP27,3621
SBP28,6263
SBP29,8125
SBP34,10249
SBP35,9744
SBP36,5768
SBP37,5310
SBP39,6777
SBP40,5445
SBP42,7940
SBP44,8597
SBP45,8422
SBP47,8414
SBP48,7050
SBP49,6160
SBP53,4902
SBP54,8338
SBP56,3671
SBP57,7328
SBP62,6540
SBP63,7319
SBP64,2446
SBP65,9270
SBP67,7197
SBP69,4845
