BBP02,7595
BBP03,3769
BBP04,4399
BBP07,4835
BBP09,4652
BBP10,3284
BBP11,3874
BBP12,6484
BBP13,3648
BBP15,4340
BBP16,3373
BBP17,3377
BBP19,4195
BBP20,8673
BBP21,5170
BBP25,3290
BBP26,2245
BBP27,4507
BBP28,7077
BBP30,4794
BBP32,5095
BBP34,3645
BBP35,4489
BBP37,3141
BBP39,4795
BBP40,3205
BBP42,3354
BBP43,4950
BBP49,3722
BBP50,4010
BBP52,3661
BBP53,2948
BBP55,4523
BBP56,5047
BBP57,5546
BBP62,3459
BBP66,4523
BBP68,2864
BBP69,5075
BBP70,5768
SBP01,5140
SBP02,7235
SBP03,7630
SBP06,4830
SBP09,5792
SBP10,5007
SBP11,7579
SBP13,3804
SBP16,8078
SBP20,10555
SBP21,10705
SBP22,6082
SBP23,6264
SBP24,7700
SBP26,6734
SBP27,3621
SBP29,8125
SBP31,7235
SBP32,8018
SBP33,7965
SBP41,4655
SBP43,10541
SBP44,8597
SBP45,8422
SBP50,8003
SBP51,4836
SBP52,10644
SBP55,4801
SBP56,3671
SBP58,5802
SBP59,8848
SBP60,7211
SBP61,5795
SBP62,6540
SBP63,7319
SBP64,2446
SBP66,6035
SBP68,7244
SBP69,4845
SBP70,5142
