BBP01,5038
BBP02,7595
BBP03,3769
BBP04,4399
BBP07,4835
BBP09,4652
BBP10,3284
BBP11,3874
BBP15,4340
BBP16,3373
BBP17,3377
BBP20,8673
BBP21,5170
BBP26,2245
BBP27,4507
BBP28,7077
BBP29,3204
BBP32,5095
BBP33,3644
BBP34,3645
BBP37,3141
BBP39,4795
BBP40,3205
BBP42,3354
BBP43,4950
BBP45,4894
BBP46,3604
BBP50,4010
BBP52,3661
BBP53,2948
BBP54,5911
BBP55,4523
BBP56,5047
BBP58,4397
BBP59,4152
BBP62,3459
BBP63,2585
BBP65,4724
BBP66,4523
BBP70,5768
SBP01,5140
SBP02,7235
SBP03,7630
SBP06,4830
SBP07,2611
SBP12,5147
SBP13,3804
SBP16,8078
SBP19,4849
SBP20,10555
SBP21,10705
SBP22,6082
SBP24,7700
SBP25,7810
SBP26,6734
SBP29,8125
SBP30,3958
SBP31,7235
SBP32,8018
SBP38,6738
SBP44,8597
SBP46,9017
SBP49,6160
SBP50,8003
SBP51,4836
SBP52,10644
SBP54,8338
SBP55,4801
SBP56,3671
SBP57,7328
SBP58,5802
SBP59,8848
SBP61,5795
SBP62,6540
SBP63,7319
SBP64,2446
SBP66,6035
SBP68,7244
SBP69,4845
SBP70,5142
